Datas;Usuários;Tweets
2020-03-20;MoisesSilvaRod3;1
2020-03-20;WagnerG65247554;1
2020-03-20;rechiada;1
2020-03-20;maisfutebol;1
2020-03-20;victorcoimbra;1
2020-03-20;VottanTK;1
2020-03-20;houisyedwurd;1
2020-03-20;bibianicole;1
2020-03-20;godmatos;1
2020-03-20;Enicomputer;1
2020-03-20;Catatn1;1
2020-03-20;_thaislisboaa;1
2020-03-20;just_kathee;1
2020-03-20;DoresNauana;1
2020-03-20;hp_medeiros;1
2020-03-20;Cal_Ipanema;1
2020-03-20;BERNARDOVERDAO;1
2020-03-20;LBKatan;1
2020-03-20;Fabiatriz;1
2020-03-20;Matheus75664969;1
2020-03-20;Canseidegente;1
2020-03-20;GiuliaCabral9;1
2020-03-20;jornaldapb;1
2020-03-20;MidiaNINJA;1
2020-03-20;Maruquineos13;1
2020-03-20;yoncelake;1
2020-03-20;LuaDuartes;1
2020-03-20;serapeutics;1
2020-03-20;picasonsa1;2
2020-03-20;Vitoriaaa_00;1
2020-03-20;Serju_tutank;1
2020-03-20;natalha_ahlatan;1
2020-03-20;JornalDestak;2
2020-03-20;Luciano7667;1
2020-03-20;ant_osmar;1
2020-03-20;heythay93;1
2020-03-20;Cclmjauregui;1
2020-03-20;nilceandreia;1
2020-03-20;_Sofiassss;1
2020-03-20;Arturdarocha;3
2020-03-20;dcunhas;2
2020-03-20;CTRL_ALT_DEL_BR;1
2020-03-20;YONGSATAN;1
2020-03-20;DeiOPeNoCoringa;1
2020-03-20;HeilMile;1
2020-03-20;BrenoAngelica;1
2020-03-20;joshbeauch4mp;1
2020-03-20;campos_eduu;1
2020-03-20;vickmonteiro__;1
2020-03-20;Grazy206;1
2020-03-20;gibamontesiao;1
2020-03-20;melrgil;1
2020-03-20;paypervitu;1
2020-03-20;herongrayirs;1
2020-03-20;magnuschasy;1
2020-03-20;carolinasensei;1
2020-03-20;ammarjaber1982;1
2020-03-20;allkar;1
2020-03-20;KarenWhois;1
2020-03-20;FernandoGondo;1
2020-03-20;hdcmarcos;1
2020-03-20;mavinicolau;1
2020-03-20;_malka;1
2020-03-20;luiscmosquera;1
2020-03-20;jeffbeast;1
2020-03-20;rayquebradeira;1
2020-03-20;ZTorres44913315;1
2020-03-20;Guilberth45574;1
2020-03-20;Adkifsjfldahnf;1
2020-03-20;celinequadra;1
2020-03-20;PochacoReyes;1
2020-03-20;cosmiclimb;1
2020-03-20;Alejand15410920;2
2020-03-20;meufakefavorito;1
2020-03-20;nathyribeirote2;2
2020-03-20;Tio_Dani_real;1
2020-03-20;lariissall1;1
2020-03-20;imedeiroscrf;1
2020-03-20;classe_politica;1
2020-03-20;Gabriel41986703;1
2020-03-20;Supervisora;1
2020-03-20;lidi_grossi;1
2020-03-20;PauloHe09290322;1
2020-03-20;CaoTyrion;1
2020-03-20;MARCOSBT;1
2020-03-20;laisscastro1;1
2020-03-20;MegaNew57718678;1
2020-03-20;AmandaSM14;1
