Bigramas;Ocorrências;Tweets_Presente
('vai', 'crl');1;1
('todas', 'previsões');3;3
('previsões', 'covid');1;1
('covid', 'agora');1;1
('agora', 'brasil');3;3
('brasil', 'desde');2;2
('início', 'março');1;1
('foto', 'peitao');1;1
('peitao', 'aqui');1;1
('quarentena', 'páscoa');2;2
('páscoa', 'parece');2;2
('parece', 'normal');2;2
('normal', 'day');2;2
('#13', 'faltam');3;3
('faltam', 'provas');3;3
('provas', '#china');3;3
('#china', 'tentado');3;3
('tentado', 'melhorar');3;3
('melhorar', 'imagem');3;3
('imagem', 'tempo');3;3
('tempo', 'amplia');3;3
('amplia', 'influência');3;3
('influência', 'apensar');3;3
('watch', 'https://t.co/DV6q8UZpvu');1;1
('https://t.co/DV6q8UZpvu', 'https://t.co/jmyi0s…');1;1
('ultrapassam', 'itália');2;2
('itália', 'tornam');7;7
('mundo', 'https://t.co/vRXfgJs4BS');1;1
('morre', 'roraima');1;1
('roraima', 'jovem');1;1
('jovem', 'yanomami');1;1
('yanomami', '#covid19');1;1
('#covid19', 'diz');1;1
('sesai', 'secretaria');1;1
('secretaria', 'especial');1;1
('especial', 'saúde');1;1
('saúde', 'indígena');1;1
('indígena', 'estudante');1;1
('estudante', '15');1;1
('anos', 'pa');1;1
('acabar', 'vamos');4;4
('todos', 'discoteca');1;1
('risco', 'covid');5;5
('19', 'apenas');27;27
('idosos', 'pessoas');5;5
('pessoas', 'doenças');4;4
('crônicas', 'pode');4;4
('parte', 'grupo');7;7
('grupo', 'd');4;4
('tubérculose', 'morrem');1;1
('morrem', '200');1;1
('200', 'dia');1;1
('dia', 'hipocrita');1;1
('hipocrita', '2.400');1;1
('2.400', 'pessoas');1;1
('pessoas', 'ano');1;1
('ano', 'brasil');1;1
('registra', '200');1;1
('casos', 'tuberculose');1;1
('tuberculose', 'dia');1;1
('dia', 'tratam');1;1
('p', 'hospital');4;4
('hospital', 'botafogo');4;4
('botafogo', 'pq');4;4
('pq', 'n');8;8
('n', 'fala');4;4
('fala', 'q');7;7
('q', 'moacyr');4;4
('moacyr', 'hospital');4;4
('hospital', 'primeiro');4;4
('primeiro', 'mundo');4;4
('n', 'q');5;5
('q', 'disse');4;4
('cura', 'v');4;4
('médico', 'safado');1;1
('safado', 'falsifica');1;1
('falsifica', 'laudo');1;1
('laudo', 'covid');1;1
('19', 'familiares');1;1
('familiares', 'aceitam');1;1
('aceitam', '...');1;1
('...', 'https://t.co/LSwLZZHhcl');1;1
('repercussão', 'internacional');35;35
('internacional', '3');4;4
('coronavírus', 'br');4;4
('quarentena', 'muitas');1;1
('muitas', 'preocupações');1;1
('preocupações', 'muita');1;1
('gente', 'tendo');1;1
('tendo', 'recaída');1;1
('recaída', 'entrando');1;1
('entrando', 'depressão');1;1
('depressão', 'disponibi');1;1
('sabe', 'osmar');7;7
('terra', 'grande');7;7
('grande', 'aposta');7;7
('aposta', 'bolsonaro');7;7
('bolsonaro', 'pra');7;7
('salvar', 'brasil');9;9
('brasil', 'crise');7;7
('crise', 'sanitária');7;7
('sanitária', 'dito');7;7
('dito', 'entrevista');7;7
('janeiro', 'eua');6;6
('irã', 'flertando');5;5
('flertando', 'terceira');5;5
('abril', 'erupção');5;5
('erupção', 'k');5;5
('praias', 'locais');1;1
('locais', 'ar');1;1
('livre', 'sol');1;1
('sol', 'bons');1;1
('bons', 'prática');1;1
('prática', 'caminhadas');1;1
('caminhadas', 'isolamento');1;1
('social', 'proibir');1;1
('proibir', 'povo');1;1
('país', 'oms');1;1
('oms', 'decreta');1;1
('decreta', 'fim');1;1
('dória', 'deixou');20;20
('deixou', 'pessoas');20;20
('pessoas', 'morrerem');23;23
('morrerem', 'negar');20;20
('negar', 'cloroquina');20;20
('cloroquina', 'bolsonaro');22;22
('bolsonaro', 'negou');20;20
('negou', 'socorro');20;20
('socorro', 'crime');20;20
('crime', 'https://t.co/monkJWFA96');3;3
('https://t.co/monkJWFA96', 'via');3;3
('forma', 'agredecimento');1;1
('agredecimento', 'todas');1;1
('lives', 'irei');1;1
('irei', 'comparecer');1;1
('comparecer', 'todos');1;1
('todos', 'shows');6;6
('shows', 'sertanejos');1;1
('sertanejos', 'cuiabá');1;1
('cuiabá', 'pós');1;1
('pós', 'qu');1;1
('90', '°');1;1
('quarentena', 'https://t.co/DKDKIldiU7');1;1
('faz', 'assim');4;4
('assim', 'tira');3;3
('tira', 'todo');3;3
('todo', 'resto');3;3
('resto', 'povo');3;3
('povo', 'deixa');3;3
('deixa', '4');3;3
('4', '3');3;3
('meses', 'durar');3;3
('durar', 'quarentena');4;4
('dá', '1');3;3
('afetando', 'nunca');2;2
('imaginei', 'q');1;1
('q', 'chegaria');1;1
('chegaria', 'ponto');1;1
('idoso', 'casa');8;8
('casa', 'quer');8;8
('quer', 'fura');8;8
('quarentena', 'https://t.co/54HOizbf5v');8;8
('#bolsonarotemrazao', 'https://t.co/8EYAFgv94b');1;1
('🚨', '40');9;9
('40', 'pacientes');9;9
('pacientes', 'diagnosticados');9;9
('diagnosticados', '#coronavirus');9;9
('#coronavirus', 'seguem');9;9
('seguem', 'internados');9;9
('internados', 'leitos');9;9
('uti', 'porto');9;9
('alegre', 'outros');9;9
('outros', '22');9;9
('22', 'uti');9;9
('moradores', 'zona');1;1
('zona', 'norte');4;4
('norte', 'ignorando');1;1
('ignorando', 'completamente');1;1
('completamente', 'corona');1;1
('fazer', 'talaricagem');7;7
('talaricagem', 'sexo');8;8
('sexo', 'três');8;8
('três', 'ritual');8;8
('ritual', 'satanico');8;8
('época', 'ditadura');3;3
('ditadura', 'osmar');3;3
('terra', 'pcdob');3;3
('pcdob', 'líder');3;3
('líder', 'estudantil');3;3
('estudantil', 'mônica');3;3
('mônica', 'tolipan');3;3
('tolipan', 'então');3;3
('então', 'namorada');3;3
('namorada', 'chegou');3;3
('chegou', 'ser');3;3
('ser', 'tortur');3;3
('internacional', '4');6;6
('4', 'the');3;3
('coronavírus', 'truque');4;4
('truque', 'mídia');3;3
('mídia', 'ht');3;3
('esperando', 'implantação');1;1
('implantação', 'lei');1;1
('19', 'https://t.co/nPOGJLtSQq');1;1
('cara', 'ladra');1;1
('ladra', 'fingida');1;1
('fingida', 'fábrica');1;1
('fábrica', 'ladra');1;1
('ladra', 'vocação');1;1
('vocação', 'punição');1;1
('punição', 'mulçumanos');1;1
('mulçumanos', 'aplicam');1;1
('aplicam', 'tipo');1;1
('durando', 'último');1;1
('último', 'relacionamento');1;1
('◾', 'análise');2;2
('análise', 'isolamento');2;2
('social', 'rj');2;2
('rj', '◾');2;2
('◾', 'evolução');2;2
('evolução', 'incidência');2;2
('incidência', 'tes');2;2
('ficar', 'escutando');3;3
('escutando', 'música');3;3
('música', 'melancólica');3;3
('melancólica', 'plena');3;3
('gays', 'tão');1;1
('tão', 'falando');1;1
('falando', 'queriam');1;1
('queriam', 'estar');1;1
('estar', 'lado');15;15
('lado', 'alguém');1;1
('sendo', 'conseguem');1;1
('conseguem', 'apegar');1;1
('previsão', 'pode');2;2
('pode', 'desmoralizar');2;2
('desmoralizar', 'disse');2;2
('disse', 'osmar');2;2
('terra', 'errou');2;2
('errou', 'todas');2;2
('previsões', 'sobre');2;2
('coronavírus', 'https://t.co/bVpIX6ysjp');2;2
('usar', 'indícios');1;1
('indícios', 'prova');1;1
('prova', 'sabe');1;1
('sabe', 'bem');1;1
('bem', 'corrupto');1;1
('corrupto', 'basta');1;1
('basta', 'ler');1;1
('ler', 'vaza');1;1
('vaza', 'jato');1;1
('covid', 'morre');1;1
('morre', 'cirrose');1;1
('cirrose', 'certeza');1;1
('quarentena', 'maridão');1;1
('maridão', 'encerrada');1;1
('encerrada', 'vamos');1;1
('vamos', 'trepar');1;1
('trepar', 'após');1;1
('após', '1');6;6
('mês', 'meter');1;1
('meter', 'viagem');1;1
('viagem', 'quarentena');1;1
('quarentena', 'ardido');1;1
('ardido', 'gostoso');1;1
('gostoso', 'ard');1;1
('pessoal', 'favor');3;3
('favor', 'mandem');3;3
('mandem', 'links');3;3
('links', 'manifestações');3;3
('manifestações', 'grandes');3;3
('grandes', 'contra');3;3
('quarentena', 'eua');3;3
('frança', 'itália');3;3
('itália', 'espanha');5;5
('espanha', 'etc');3;3
('etc', '..');3;3
('😷', 'cuido');1;1
('cuido', 'cuida');1;1
('cuida', 'mim');1;1
('mim', 'combinado');1;1
('combinado', 'acadêmica');1;1
('acadêmica', 'cassia');1;1
('cassia', 'abdalla');1;1
('abdalla', 'esbanjando');1;1
('esbanjando', 'charme');1;1
('charme', 'novo');1;1
('novo', 'loo');1;1
('ficar', 'saudável');3;3
('saudável', 'novo');2;2
('novo', 'quarentena');3;3
('acabar', 'prometo');2;2
('prometo', 'vou');2;2
('viver', 'verdade');2;2
('hahahahahahahahahaha', '#gicela');1;1
('#gicela', 'revive');1;1
('revive', 'gi');1;1
('gi', 'ainda');1;1
('ainda', 'confinamento');2;2
('confinamento', 'hahahahahahaha');1;1
('hahahahahahaha', 'tô');1;1
('tô', 'shippando');1;1
('shippando', 'novo');1;1
('sobre', 'povo');6;6
('povo', 'protestando');6;6
('protestando', 'pra');6;6
('vcs', 'aprendem');6;6
('aprendem', 'https://t.co/EHEJpv5chI');6;6
('jurava', 'domingo');1;1
('domingo', 'https://t.co/7Ja2xFnIZh');1;1
('certo', 'aproveitando');1;1
('aproveitando', 'quarentena');17;17
('preciso', 'sair');7;7
('sair', 'amigos');1;1
('recebo', 'notificação');2;2
('notificação', 'dm');2;2
('dm', 'vou');2;2
('vou', 'conversa');2;2
('conversa', 'lá');2;2
('lá', 'nada');3;3
('nada', 'bater');2;2
('mal', 'twitter');2;2
('3', 'discutirei');2;2
('discutirei', 'constitucionalidade');2;2
('constitucionalidade', 'lei');2;2
('lei', '13979');2;2
('13979', '6');2;2
('6', 'fev');2;2
('fev', '2020');2;2
('2020', 'menos');2;2
('menos', 'parâmetro');2;2
('parâmetro', 'adotado');2;2
('adotado', 'oms');2;2
('bolsonaro', 'promover');1;1
('promover', 'aglomerações');1;1
('aglomerações', 'propositalmente');1;1
('propositalmente', 'zomba');1;1
('zomba', 'sociedade');1;1
('sociedade', 'profissionais');1;1
('saúde', 'dedicam');1;1
('dedicam', 's');1;1
('moisés', 'descansas');1;1
('descansas', 'enquanto');1;1
('enquanto', 'estado');1;1
('estado', 'falido');1;1
('ontem', 'pm');4;4
('pm', 'israel');4;4
('israel', 'benjamin');4;4
('benjamin', 'netanyahu');4;4
('netanyahu', 'agradeceu');4;4
('agradeceu', 'pm');4;4
('pm', 'índia');4;4
('índia', 'narendra');4;4
('narendra', 'modi');6;6
('modi', 'ter');4;4
('ter', 'enviado');4;4
('enviado', 'país');4;4
('país', 'toneladas');4;4
('coreografias', 'tiktok');2;2
('tiktok', 'https://t.co/1W7G6o6eHU');2;2
('paciência', 'p');1;1
('p', 'justifica');1;1
('justifica', 'ter');1;1
('ter', 'feito');3;3
('feito', 'rolezinho');1;1
('rolezinho', 'quarenta');1;1
('quarenta', 'saudade');1;1
('saudade', 'amigos');4;4
('amigos', 'galera');1;1
('galera', 'tá');1;1
('tá', 'respe');1;1
('idiotia', 'limites');1;1
('limites', 'mddc');1;1
('bastidores', 'vídeos');2;2
('vídeos', 'fofos');2;2
('fofos', 'quarentena');2;2
('contas', 'dias');4;4
('dias', '#quarentena');4;4
('#quarentena', 'kkk');4;4
('kkk', 'nesse');4;4
('nesse', 'nível');4;4
('nível', 'paquerando');4;4
('paquerando', 'boneco');4;4
('boneco', 'treino');4;4
('treino', 'falando');4;4
('falando', 'cachorrei');4;4
('voltar', 'dessa');1;1
('quarentena', 'fígado');2;2
('notícia', 'https://t.co/wVA4swGcxa');92;92
('#bolsonaroassassino', 'mônica');1;1
('mônica', 'bergamo');90;90
('bergamo', 'bolsonaro');1;1
('quer', 'ampliar');1;1
('ampliar', 'serviços');1;1
('serviços', 'quarentena');1;1
('deixa', 'parte');1;1
('governo', 'tensão');1;1
('tensão', 'máx');1;1
('gerais', 'taxa');4;4
('taxa', 'homicídios');4;4
('homicídios', '2020');4;4
('2020', 'grupo');4;4
('grupo', '100');4;4
('pessoas', '3.56');4;4
('3.56', 'vítimas');4;4
('vítimas', 'enquanto');4;4
('enquanto', 'coronavirus');4;4
('coronavirus', '0,05');4;4
('acho', 'yoongi');1;1
('yoongi', 'quer');1;1
('quer', 'lançar');1;1
('lançar', 'agust');1;1
('agust', 'd');1;1
('d', '2');1;1
('2', 'causa');1;1
('corona', 'porque');2;2
('porque', 'acha');1;1
('acha', 'pode');1;1
('ser', 'desrespeitoso');1;1
('desrespeitoso', 'inapropriado');1;1
('inapropriado', 'n');1;1
('curtir', 'baile');3;3
('quarentena', '🎶');2;2
('🎶', '🕺');2;2
('🕺', '🕺');2;2
('🕺', 'https://t.co/kahQ0P9JRJ');2;2
('vcs', 'namorariam');14;14
('namorariam', 'alguém');14;14
('alguém', 'intelectualmente');14;14
('intelectualmente', 'inferior');14;14
('inferior', 'tipo');14;14
('tipo', 'alguém');14;14
('alguém', 'desrespeita');14;14
('desrespeita', 'quarentena');15;15
('quarentena', 'sai');15;15
('casa', 'necessidade');21;21
('necessidade', 'faz');14;14
('faz', 'fest');14;14
('querido', 'prefeito');1;1
('prefeito', 'caxias');3;3
('caxias', 'corona');1;1
('corona', 'dizer');1;1
('dizer', 'cura');1;1
('cura', 'tava');1;1
('tava', 'igrejas');1;1
('igrejas', 'i');1;1
('i', '’');1;1
('’', 'm');1;1
('m', 'not');1;1
('not', 'saying');1;1
('saying', 'he');1;1
('he', 'deserves');1;1
('deserves', 'it');1;1
('it', 'but');1;1
('diferença', 'covid');2;2
('19', 'ignorantes');2;2
('ignorantes', 'covid');2;2
('passa', 'ignorância');2;2
('ignorância', 'permanece');2;2
('permanece', 'multiplicam');2;2
('multiplicam', 'monte');2;2
('dinheiro', 'quarentena');8;8
('quarentena', 'sentado');3;3
('sentado', 'deitado');3;3
('deitado', 'cama');3;3
('cama', 'tik');3;3
('tok', 'gravar');3;3
('gravar', 'vídeos');3;3
('vídeos', 'dm');3;3
('dm', 'open');3;3
('dar', 'mano');1;1
('mano', 'olha');1;1
('olha', 'oque');1;1
('oque', 'pessoas');1;1
('pessoas', 'cabeça');3;3
('cabeça', 'merda');1;1
('merda', 'pode');1;1
('dps', '3');3;3
('3', 'min');3;3
('min', 'jogando');3;3
('jogando', 'bola');3;3
('bola', 'dps');3;3
('quarentena', 'https://t.co/MVEdNVtXXl');3;3
('professores', 'enlouquecendo');6;6
('enlouquecendo', 'conta');6;6
('quarentena', 'https://t.co/INTU4TRqO0');6;6
('vem', 'gente');3;3
('gente', 'falar');2;2
('falar', 'falar');1;1
('mal', 'chines');1;1
('chines', 'ruim');1;1
('ruim', 'obrigaçao');1;1
('fortalecer', 'aquisição');1;1
('aquisição', 'internacional');1;1
('internacional', 'insumos');1;1
('insumos', 'equipamentos');1;1
('equipamentos', 'enfrentamento');1;1
('coronavírus', 'essen');1;1
('bem', '🤦');1;1
('️', '🥰');1;1
('🥰', 'https://t.co/EAYYhYGCka');1;1
('tempos', 'difíceis');10;10
('difíceis', 'valor');1;1
('valor', 'amigos');1;1
('amigos', 'testado');1;1
('testado', 'disse');1;1
('disse', 'governador');1;1
('governador', 'luanda');1;1
('luanda', 'luther');1;1
('luther', 'rescova');1;1
('rescova', 'considerar');1;1
('considerar', 'hoje');1;1
('bolsonaro', 'afirma');1;1
('afirma', 'jesus');1;1
('jesus', 'cristo');1;1
('cristo', 'ressuscitou');1;1
('ressuscitou', 'graças');1;1
('graças', 'cloroquina');1;1
('cloroquina', 'https://t.co/mjPgyCQTFC');1;1
('cara', 'queria');3;3
('queria', 'fase');3;3
('fase', 'passasse');3;3
('passasse', 'aguento');3;3
('2016', 'https://t.co/iHY4uBiqJo');1;1
('vamos', 'pós');5;5
('compartilho', '2o');7;7
('2o', 'artigo');7;7
('artigo', 'revista');7;7
('revista', 'oeste');7;7
('oeste', 'sobre');7;7
('sobre', 'dinheiro');7;7
('dinheiro', 'fundo');9;9
('eleitoral', 'destinado');7;7
('destinado', 'enfren');7;7
('queria', 'dormir');5;5
('dormir', 'acordar');2;2
('acordar', 'qnd');1;1
('hospital', 'privado');3;3
('privado', 'anuncie');2;2
('anuncie', 'unilateralmente');2;2
('unilateralmente', 'todos');2;2
('todos', 'custos');2;2
('custos', 'internamentos');2;2
('internamentos', 'causados');2;2
('19', 'suport');2;2
('ciência', 'realmente');1;1
('realmente', 'mostra');1;1
('mostra', 'sobre');1;1
('sobre', 'eficácia');3;3
('hidroxicloroquina', 'segue');1;1
('segue', 'fio');2;2
('fio', 'https://t.co/RUkQbElrTD');1;1
('q', 'vcs');5;5
('vcs', 'fizeram');1;1
('fizeram', 'cabelo');1;1
('cortei', 'franja');1;1
('franja', 'menor');1;1
('menor', 'q');1;1
('q', 'tava');2;2
('tava', 'clareei');1;1
('clareei', 'cabelo');1;1
('cabelo', 'https://t.co/VzmKbhug3Z');1;1
('consulta', 'virtual');1;1
('virtual', 'covid');1;1
('19', '#saúde');1;1
('#saúde', 'sabia');1;1
('sabia', 'pode');1;1
('pode', 'tirar');4;4
('tirar', 'dúvidas');1;1
('dúvidas', 'sobre');1;1
('coronavírus', 'consultar');1;1
('consultar', 'médico');1;1
('típico', 'imprensa');1;1
('imprensa', 'marrom');1;1
('marrom', 'mundi');1;1
('mundi', '💰');1;1
('💰', 'sentam');1;1
('sentam', 'colo');1;1
('colo', 'qualquer');1;1
('qualquer', 'ditador');1;1
('ditador', 'https://t.co/yWEOQMMJ6F');1;1
('adotado', 'quarentena');1;1
('vertical', 'março');1;1
('março', 'saído');1;1
('saído', 'pico');1;1
('pico', 'pessoas');1;1
('pessoas', 'ganhado');1;1
('ganhado', 'anticor');1;1
('fda', 'agência');6;6
('agência', 'americana');3;3
('americana', 'saúde');3;3
('saúde', 'comprovou');3;3
('comprovou', 'hidroxicloroquina');3;3
('hidroxicloroquina', 'mata');3;3
('mata', 'coronavirus');5;5
('coronavirus', 'fim');3;3
('fim', 'pandemia');4;4
('pandemia', 'antes');3;3
('antes', 'p');3;3
('gente', 'faz');6;6
('faz', 'quê');5;5
('quê', 'olha');2;2
('olha', 'pra');2;2
('cima', 'dia');2;2
('dia', '24');4;4
('24', 'abril');2;2
('abril', 'hubble');2;2
('hubble', 'completa');2;2
('completa', '30');2;2
('30', 'anos');5;5
('anos', 'órbita');2;2
('órbita', 'd');2;2
('lives', 'vão');1;1
('completamente', 'favor');1;1
('favor', 'lives');1;1
('lives', 'pós');1;1
('quarentena', 'invés');1;1
('invés', 'shows');1;1
('shows', 'presenciais');1;1
('presenciais', '..');1;1
('..', '😌');1;1
('😌', '🙏');1;1
('🙏', '🏽');8;5
('🏽', '😂');1;1
('doria', 'mente');1;1
('cloroquina', 'desmentido');1;1
('desmentido', 'mandett');1;1
('mandett', '...');1;1
('...', 'https://t.co/1tPkQp2KEj');1;1
('https://t.co/1tPkQp2KEj', 'via');1;1
('cidade', 'registrou');4;4
('registrou', 'primeira');4;4
('19', 'tava');4;4
('tava', 'cheio');4;4
('cheio', 'criança');4;4
('criança', 'aqui');4;4
('rua', '...');4;4
('...', 'sair');4;4
('sair', 'pedir');4;4
('devido', 'tédio');6;6
('quarentena', 'vim');3;3
('vim', 'passar');3;3
('passar', 'vergonha');8;8
('vergonha', 'aqui');2;2
('aqui', 'kkkk');2;2
('kkkk', 'https://t.co/v9hyfFDE46');2;2
('acho', 'mt');2;2
('mt', 'chique');1;1
('chique', 'conceito');1;1
('conceito', 'estudar');1;1
('quarentena', 'infelizmente');3;3
('infelizmente', 'ficarei');1;1
('ficarei', 'dessa');1;1
('dessa', '💋');1;1
('💋', '💋');2;1
('💋', 'k');1;1
('k', 'mundo');1;1
('todo', 'desgraçando');1;1
('ver', 'ser');1;1
('ser', 'dois');1;1
('dois', 'rapazes');1;1
('rapazes', 'infelizmente');1;1
('infelizmente', 'morreram');1;1
('morreram', 'porque');1;1
('porque', 'problemas');1;1
('problemas', 'balão');1;1
('balão', 'interio');1;1
('mal', 'começou');1;1
('começou', 'podem');1;1
('morrer', 'roleta');1;1
('russa', 'covid');1;1
('covid', '#osegredonafloresta');1;1
('corona', 'ta');5;5
('fazendo', 'voltar');1;1
('voltar', 'alguns');1;1
('alguns', 'pensamentos');1;1
('pensamentos', 'autosabote');1;1
('autosabote', 'autodestruiçao');1;1
('autodestruiçao', '...');1;1
('to', 'fio');1;1
('fio', 'voltar');1;1
('ter', 'ataq');1;1
('pararam', 'publicar');1;1
('publicar', 'quantos');1;1
('quantos', 'pacientes');1;1
('pacientes', 'atenderam');1;1
('atenderam', 'coronavírus');1;1
('coronavírus', 'fizeram');1;1
('fizeram', 'algumas');1;1
('algumas', 'semanas');2;2
('semanas', 'atrás');4;4
('atrás', 'https://t.co/tY6…');1;1
('modo', 'quarentena');1;1
('quarentena', 'petardos');1;1
('mesma', 'aguento');1;1
('aguento', 'nessa');1;1
('quarentena', 'lakakakakak');1;1
('sera', 'brahma');1;1
('brahma', 'poderia');1;1
('poderia', 'patrocinar');1;1
('patrocinar', 'quarentena');1;1
('quarentena', 'pedir');2;2
('pedir', 'dms');2;2
('dms', 'https://t.co/F47QIwr59r');1;1
('dia', 'jogo');3;3
('jogo', 'recomendação');3;3
('recomendação', 'sábado');3;3
('quarentena', 'excelente');3;3
('excelente', 'pouco');3;3
('pouco', 'valorizado');3;3
('valorizado', 'titanfa');3;3
('abin', 'deve');3;3
('estar', 'achando');3;3
('achando', 'ótimo');3;3
('ótimo', 'deve');3;3
('ter', 'general');3;3
('general', 'pedindo');3;3
('pedindo', 'pra');6;6
('trazer', 'xiaomi');3;3
('xiaomi', 'mala');3;3
('sobre', 'negacionismo');1;1
('negacionismo', '#bolsonaro');1;1
('#bolsonaro', '#trump');1;1
('#trump', 'combate');1;1
('#covid19', 'https://t.co/B7LFktlxJ4ão');1;1
('https://t.co/B7LFktlxJ4ão', 'https://t.co/B7LFktlxJ4ão');1;1
('vivo', 'eduardo');2;2
('eduardo', 'moreira');2;2
('moreira', 'lula');2;2
('lula', 'debatem');2;2
('debatem', 'aumento');2;2
('aumento', 'desigualdade');2;2
('desigualdade', 'tempos');2;2
('19', 'https://t.co/TEylOVhZoR');2;2
('porque', 'turma');1;1
('turma', 'quanto');1;1
('quanto', 'pior');1;1
('pior', 'melhor');1;1
('melhor', 'começando');1;1
('começando', 'extrema');1;1
('imprensa', 'desejam');1;1
('desejam', 'milhões');1;1
('milhões', 'brasileiros');1;1
('brasileiros', 'mort');1;1
('pra', 'brazil');1;1
('brazil', 'vai');1;1
('vai', 'gastar');1;1
('gastar', 'todo');1;1
('todo', 'dinheiro');1;1
('dinheiro', 'cloroquina');1;1
('cloroquina', 'ah');1;1
('ah', 'resolve');1;1
('resolve', 'entendi');1;1
('entendi', 'https://t.co/8UHAwcxaT0');1;1
('satisfação', 'ver');3;3
('ver', 'apóstolos');3;3
('apóstolos', 'guiando');3;3
('guiando', 'igreja');3;3
('igreja', 'meio');3;3
('meio', 'dessa');4;4
('...', 'amar');3;3
('amar', 'tio');3;3
('tio', 'mário');3;3
('mário', 'tio');3;3
('tio', 'vanjo');3;3
('vanjo', 'tio');3;3
('atenção', 'senhores');2;2
('senhores', 'médicos');2;2
('médicos', 'colocando');2;2
('colocando', 'morte');2;2
('19', 'comprovação');2;2
('comprovação', 'laboratorial');2;2
('laboratorial', 'família');2;2
('família', 'falecido');2;2
('descansem', 'https://t.co/W3ryYd9ZI7');1;1
('ir', 'pagode');1;1
('sei', 'ai');1;1
('ai', 'brasil');1;1
('brasil', 'virou');1;1
('virou', 'disputa');1;1
('disputa', 'politica');1;1
('politica', 'aqui');1;1
('aqui', 'australia');1;1
('australia', 'medico');1;1
('medico', 'receitar');1;1
('vai', 'to');2;2
('tá', 'transando');1;1
('transando', 'nessa');1;1
('quarentena', 'privilegiado');2;2
('privilegiado', 'sim');7;7
('imagina', 'ficar');5;5
('ficar', 'bravo');5;5
('bravo', 'pq');5;5
('pq', 'pessoas');7;7
('pessoas', 'estao');6;6
('estao', 'assando');5;5
('assando', 'pão');5;5
('pão', 'deve');5;5
('ser', 'inferno');5;5
('inferno', 'ser');5;5
('assim', 'https://t.co/OqVLEh5mLZ');3;3
('tá', 'bugado');3;3
('bugado', 'cabeça');3;3
('semana', '#covid19');10;10
('#covid19', 'completou');10;10
('completou', '100');10;10
('100', 'dias');10;10
('dias', 'desde');12;12
('desde', 'descoberto');10;10
('descoberto', 'fiz');10;10
('fiz', 'gráfico');12;12
('gráfico', 'comparativo');10;10
('comparativo', 'nº');10;10
('nº', 'mortes');10;10
('mortes', '1');10;10
('corona', 'seguinte');3;3
('seguinte', 'aguento');3;3
('aguento', 'vai');3;3
('quarentena', 'serviu');6;6
('serviu', 'pra');4;4
('ver', 'vrdd');1;1
('vcs', 'reclamam');1;1
('reclamam', 'quarentena');2;2
('quarentena', 'ficam');1;1
('ficam', 'fazendo');1;1
('fazendo', 'rolezinho');2;2
('rolezinho', 'monte');1;1
('gente', 'sinceramente');1;1
('sinceramente', 'burros');1;1
('burros', 'negligentes');1;1
('negligentes', 'mínimo');1;1
('ficando', 'louca');1;1
('louca', 'nessa');1;1
('queria', 'beberrr');1;1
('relacionamento', 'queria');6;6
('queria', 'pra');6;6
('...', '¯');8;7
('¯', 'ツ');6;6
('ツ', '¯');6;6
('¯', 'crédito');6;6
('crédito', 'instagram');6;6
('instagram', 'tainadias');6;6
('tainadias', 'williamfelipefv');6;6
('tempos', 'auto');1;1
('auto', 'verdade');1;1
('verdade', 'consigo');1;1
('entender', 'doidice');1;1
('doidice', 'negacionista');1;1
('negacionista', 'compreender');1;1
('compreender', 'diabos');1;1
('diabos', 'faz');1;1
('faz', 'pessoa');2;2
('pessoa', 'u');1;1
('dias', 'desta');1;1
('quarentena', 'acordo');2;2
('acordo', 'penso');1;1
('penso', 'top');1;1
('top', 'vou');1;1
('dar', 'mergulho');1;1
('mergulho', 'piscina');1;1
('piscina', 'morrer');1;1
('morrer', 'hipoterm');1;1
('quarentena', 'https://t.co/QWEbhKNXzz');1;1
('acabandoessa', 'quarentena');1;1
('pra', 'sp');1;1
('sp', 'foda');1;1
('cara', 'arde');1;1
('arde', 'postar');1;1
('postar', 'q');2;2
('q', 'ta');10;10
('ta', 'role');1;1
('role', 'plena');8;8
('justin', 'abençoou');1;1
('abençoou', 'muitas');1;1
('muitas', 'lives');1;1
('aí', 'viu');1;1
('viu', 'todas');1;1
('todas', '🥰');1;1
('🥰', 'https://t.co/HWZW3hddly');1;1
('sei', 'pra');1;1
('pra', 'to');1;1
('rolê', 'ficando');1;1
('durou', 'milagre');5;5
('milagre', 'cloroquina');5;5
('cloroquina', 'covid');5;5
('19', 'pesadelo');5;5
('pesadelo', 'neoliberalismo');5;5
('neoliberalismo', 'volta');5;5
('volta', 'debate');5;5
('debate', 'ainda');5;5
('ainda', 'en');5;5
('live', 'rap');1;1
('rap', 'brasil');1;1
('brasil', 'quarta');1;1
('08/04', 'l7');1;1
('l7', '20h');1;1
('20h', '08/04');1;1
('08/04', 'bk');1;1
('bk', '22h');1;1
('22h', 'quinta');1;1
('quinta', '09/04');1;1
('09/04', 'poesia');1;1
('acústica', '20h');1;1
('20h', '09/04');1;1
('09/04', '1kilo');1;1
('grecia', 'https://t.co/tH5Q5URvar');1;1
('babu', 'quarentena');1;1
('#bbb20', 'https://t.co/Y5bn9ygTt6');1;1
('coronavírus', 'olha');1;1
('olha', 'pros');1;1
('pros', 'guris');1;1
('guris', 'pega');1;1
('pega', 'quarentena');1;1
('quarentena', 'mão');2;2
('mão', 'correm');1;1
('correm', 'kkk');1;1
('ve', 'nao');3;3
('nao', 'amg');3;3
('amg', 'qnd');3;3
