Bigramas;Ocorrências;Tweets_Presente
('jair', 'bolsonaro');140;140
('bolsonaro', 'determinou');1;1
('determinou', 'atuar');1;1
('atuar', 'apoio');1;1
('apoio', 'estados');1;1
('estados', 'logística');1;1
('logística', 'distribuição');1;1
('distribuição', 'in');1;1
('plena', 'páscoa');77;77
('páscoa', 'reclusos');77;77
('reclusos', 'quarentena');77;77
('quarentena', 'imposta');87;87
('imposta', 'coronavírus');77;77
('coronavírus', 'sendo');77;77
('sendo', 'bombardeados');77;77
('bombardeados', 'notícias');77;77
('notícias', 'ruins');178;178
('representante', 'província');180;180
('província', 'xangai');180;180
('xangai', 'marcos');183;183
('marcos', 'zheng');839;807
('zheng', 'responsável');180;180
('responsável', 'roubo');180;180
('roubo', '2');263;263
('2', 'milhões');765;765
('milhões', 'máscaras');767;767
('máscaras', 'testes');250;250
('urgente', 'pode');119;119
('pode', 'ter');138;138
('ter', 'envolvimento');119;119
('envolvimento', 'diplomatico');119;119
('diplomatico', 'presos');119;119
('presos', 'chineses');119;119
('chineses', 'deposito');119;119
('deposito', 'tentavam');119;119
('tentavam', 'vender');119;119
('vender', '3');119;119
('3', 'milhoes');119;119
('milhoes', 'carga');119;119
('carga', 'roubada');192;192
('delegado', 'guerra');319;319
('guerra', 'passou');319;319
('passou', 'comprador');319;319
('comprador', 'zeng');319;319
('zeng', 'quadrilha');319;319
('quadrilha', 'pediram');319;319
('pediram', 'r');319;319
('r', '4');805;805
('4', 'milhões');805;805
('milhões', 'carga');319;319
('carga', 'hora');319;319
('hora', 'h');319;319
('h', 'dr');319;319
('dr', 'nico');319;319
('afrouxamento', 'quarentena');102;102
('quarentena', 'coronavírus');118;118
('coronavírus', 'ameaça');100;100
('ameaça', 'antecipar');100;100
('antecipar', 'colapso');100;100
('colapso', 'hospitais');100;100
('hospitais', 'mortes');89;89
('mortes', 'triplicaram');89;89
('triplicaram', 'semana');89;89
('semana', 'ritmo');89;89
('animar', 'sábado');7;7
('sábado', 'aleluia');102;102
('aleluia', '👇');5;5
('👇', 'confia');5;5
('confia', 'deus');5;5
('deus', '...');5;5
('...', 'corona');12;12
('corona', 'vai');31;31
('vai', 'voltar');8;8
('voltar', 'ser');6;6
('ser', 'marca');5;5
('marca', 'chuveiro');5;5
('chuveiro', 'ânimo');5;5
('ânimo', 'liberd');5;5
('tava', 'mm');271;271
('mm', 'precisar');271;271
('precisar', 'desta');271;271
('desta', 'informação');271;271
('quarentena', 'tá');462;462
('tá', 'sendo');154;154
('sendo', 'produtiva');12;12
('produtiva', 'quarentena');12;12
('quarentena', 'produtiva');12;12
('produtiva', 'https://t.co/KvLujGyki7');12;12
('exatamente', 'pior');1;1
('pior', 'tudo');4;3
('tudo', 'pessoas');1;1
('parem', 'ter');62;62
('ter', 'coronavirus');16;16
('coronavirus', '✋');7;7
('✋', '#osegredonafloresta');7;7
('#osegredonafloresta', 'https://t.co/ebR1WiHFYB');7;7
('brasil', 'paga');486;486
('paga', 'r');486;486
('milhões', '15');486;486
('15', 'mil');844;844
('mil', 'testes');868;868
('19', '2');486;486
('máscaras', 'carga');484;484
('carga', 'chega');482;482
('chega', 'guarulhos');482;482
('guarulhos', 'roubada');482;482
('frança', 'relatou');152;152
('relatou', 'q');152;152
('q', '43');152;152
('43', 'pacientes');152;152
('pacientes', 'tratados');152;152
('tratados', 'cloroquina');152;152
('cloroquina', 'problemas');152;152
('problemas', 'cardíacos');171;171
('cardíacos', '7');152;152
('7', 'paradas');152;152
('paradas', 'cardíacas');152;152
('cardíacas', '4');152;152
('4', 'mo');152;152
('ces', 'so');2;2
('so', 'vao');2;2
('vao', 'parar');2;2
('parar', 'sair');3;3
('sair', 'pegar');2;2
('pegar', 'corona');13;13
('corona', 'transmitir');2;2
('transmitir', 'pra');2;2
('pra', 'alguém');2;2
('alguém', 'gosta');2;2
('gosta', 'ne');2;2
('carreata', 'acontece');50;50
('acontece', 'agora');50;50
('agora', 'paulo');50;50
('paulo', 'reunindo');50;50
('reunindo', 'nata');50;50
('nata', 'cidadão');50;50
('cidadão', 'bem');52;52
('bem', 'patriota');52;52
('patriota', 'temente');50;50
('temente', 'deus');50;50
('deus', 'amante');50;50
('amante', 'cl');50;50
('número', 'novos');11;11
('novos', 'casos');31;31
('casos', 'covid');283;283
('19', 'vem');9;9
('vem', 'diminuindo');8;8
('diminuindo', 'amazonas');8;8
('amazonas', '🙏');8;8
('🙏', 'quarta');8;8
('quarta', '168');8;8
('168', 'quinta');8;8
('quinta', '95');8;8
('95', 'sexta');8;8
('sexta', '82');8;8
('82', 'sábado');8;8
('sábado', '68');8;8
('68', 'https://t.c…');8;8
('mulher', 'morreu');243;243
('morreu', 'pneumonia');243;243
('pneumonia', 'médico');242;242
('médico', 'colocou');242;242
('colocou', 'corona');239;239
('corona', 'virus');333;333
('virus', 'família');217;217
('família', 'pra');224;224
('pra', 'cima');225;225
('cima', '..');217;217
('..', 'hospital');217;217
('hospital', 'psm');217;217
('psm', 'belém');214;214
('belém', 'https://t.…');212;212
('consigo', 'entender');2;2
('entender', 'pq');1;1
('pq', 'vc');11;11
('vc', 'reunindo');1;1
('reunindo', 'quarentena');1;1
('quarentena', 'parece');8;8
('parece', 'loucos');1;1
('loucos', 'fica');1;1
('fica', 'casa');60;60
('casa', 'caralho');13;13
('quarentena', 'acabar');668;668
('letalidade', 'covid');2;2
('19', 'taxa');2;2
('taxa', 'mortalidade');3;3
('mortalidade', 'brasil');2;2
('brasil', 'continua');4;4
('continua', 'bem');2;2
('bem', 'abaixo');2;2
('abaixo', 'média');2;2
('média', 'mundial');2;2
('mundial', 'brasil');2;2
('brasil', '14º');2;2
('14º', 'número');2;2
('número', 'ca');2;2
('coreia', 'sul');201;201
('sul', 'fez');126;126
('fez', 'quarentena');126;126
('quarentena', 'isolou');124;124
('isolou', 'superprotegeu');124;124
('superprotegeu', 'grupo');124;124
('grupo', 'risco');150;150
('risco', 'fechou');124;124
('fechou', 'restaurante');124;124
('restaurante', 'empresa');124;124
('empresa', 'durante');124;124
('imagina', 'assistir');73;73
('assistir', 'vídeo');75;75
('vídeo', 'fumando');73;73
('fumando', 'cloroquina');73;73
('cloroquina', 'https://t.co/3Ww6mBr2I8');73;73
('vai', 'além');35;35
('além', 'dia');35;35
('dia', '31/05');35;35
('31/05', 'voces');35;35
('voces', 'continuarem');35;35
('continuarem', 'furando');33;33
('furando', 'merda');33;33
('merda', 'quarentena');81;81
('quarentena', 'bosta');34;34
('tá', 'fazendo');84;83
('fazendo', 'quarentena');20;20
('quarentena', 'https://t.co/CYxgdBIXXa');8;8
('detalhes', '1');67;67
('1', 'babaca');67;67
('babaca', 'tentando');67;67
('tentando', 'emplacar');67;67
('emplacar', 'ato');67;67
('ato', 'desobediência');67;67
('desobediência', 'civil');67;67
('civil', 'reflexo');67;67
('reflexo', 'gado');67;67
('gado', 'tão');67;67
('tão', 'forte');67;67
('forte', 'hora');67;67
('líderes', 'g20');1;1
('g20', 'após');1;1
('após', 'reunião');1;1
('reunião', 'videoconferência');1;1
('videoconferência', 'emitem');1;1
('emitem', 'declaração');1;1
('declaração', 'confirmando');1;1
('confirmando', 'frente');1;1
('frente', 'econômica');1;1
('econômica', 'preservaç');1;1
('saiu', 'fisiopatogenia');76;76
('fisiopatogenia', 'covid');76;76
('19', 'lesão');76;76
('lesão', 'provoca');75;75
