Datas;Usuários;Tweets
2020-04-11;ZilvaniC;1
2020-04-11;btrzot;1
2020-04-11;jadsu69;1
2020-04-11;marianavsi;1
2020-04-11;eduardascia;1
2020-04-11;jota_ve;1
2020-04-11;EmanoelWj;1
2020-04-11;areneeporto;1
2020-04-11;Aguirre94186874;1
2020-04-11;lnpabr23;1
2020-04-11;rose1cavalcante;1
2020-04-11;filho_pavao;1
2020-04-11;morteaoshomens1;1
2020-04-11;pdiiana17;1
2020-04-11;alexandr4;1
2020-04-11;andreea_miru;1
2020-04-11;pinklyjiminn;1
2020-04-11;KarinRCG;1
2020-04-11;sussouza;2
2020-04-11;leoeckert_;1
2020-04-11;Biiahgalvao_;1
2020-04-11;leminof;1
2020-04-11;joaorachod;1
2020-04-11;ArgeliaMar1;1
2020-04-11;gmnpipoca;2
2020-04-11;Gemersonlx;1
2020-04-11;AvlLucaas;1
2020-04-11;adilson2023;1
2020-04-11;mondleert;1
2020-04-11;JoMlGnR;1
2020-04-11;martnnmands;1
2020-04-11;Amlia40758055;1
2020-04-11;luanamm_64;1
2020-04-11;marciav2015;2
2020-04-11;paulo_aguiar;1
2020-04-11;Henriquech2C;1
2020-04-11;manusnn;1
2020-04-11;Felipe_alves_io;1
2020-04-11;unicxri;1
2020-04-11;bella_roesler03;1
2020-04-11;GeneMonteiro;1
2020-04-11;sergiodireita1;1
2020-04-11;bianca_portelaa;1
2020-04-11;ErisDea;1
2020-04-11;vinicius_sdn;1
2020-04-11;JoaquimMontiel;1
2020-04-11;vn19998;1
2020-04-11;rleca16;1
2020-04-11;NMackinson;1
2020-04-11;alanabastos;1
2020-04-11;SilviaPassolon1;1
2020-04-11;everforyoufavs;1
2020-04-11;robson_fato;2
2020-04-11;paula_bsouza;1
2020-04-11;rodrigo_mirones;1
2020-04-11;Laynesilvap;1
2020-04-11;Diogolazzaretti;1
2020-04-11;RonildoQ;1
2020-04-11;thekaah3blr;1
2020-04-11;jonnhy2019;1
2020-04-11;premprakash;1
2020-04-11;AnnaCelico;1
2020-04-11;mariadaianesil;1
2020-04-11;marcosfsss;1
2020-04-11;marcaoifcs;1
2020-04-11;SamuraiPerifa;1
2020-04-11;camillasilv_;1
2020-04-11;_primendonca;1
2020-04-11;HypeJordan_;1
2020-04-11;LerandeN;1
2020-04-11;angelanddemi;1
2020-04-11;a_fernandes0;1
2020-04-11;kikomoraiis;1
2020-04-11;degasprii;1
2020-04-11;maripondian;1
2020-04-11;kirliakirlia;1
2020-04-11;cwptainstrange;1
2020-04-11;onemoretimehigh;1
2020-04-11;DasBoechat;1
2020-04-11;lilalopes63;1
2020-04-11;IderlanCavalca1;1
2020-04-11;ArraisIrapua;1
2020-04-11;jonathanvaz;1
2020-04-11;hellen_figd;1
2020-04-11;therealslimju;1
2020-04-11;bialp_22_;1
2020-04-11;judssu;2
2020-04-11;itslaaura;1
2020-04-11;patygirllll;1
2020-04-11;EstimativasB;1
2020-04-11;hamenteslivres;1
2020-04-11;NunesTrevisi;1
2020-04-11;Bethomarques;1
2020-04-11;sidartareis;1
2020-04-11;j_riboldia;1
2020-04-11;romanogersl;1
2020-04-11;brunostobias;1
2020-04-11;Ramonlmo;1
2020-04-11;MarcioL03202887;1
2020-04-11;DOpiechon;1
2020-04-11;MINGIGlRL;1
2020-04-11;Geraldo35987490;1
2020-04-11;Sergio_CPS;1
2020-04-11;Dia_Planinauta;1
2020-04-11;pescotapa_muito;1
2020-04-11;pauloeandre;1
2020-04-11;niziamstan;1
2020-04-11;guimaagii;1
2020-04-11;nesimachado;1
2020-04-11;sabrinssillva;1
2020-04-11;danield03517031;1
2020-04-11;ElisaaReginaa;1
2020-04-11;CarlosJ87558455;1
2020-04-11;jaowolv;1
2020-04-11;MiriamMenezes01;1
2020-04-11;KirstKeler;1
2020-04-11;Bianca59301450;1
2020-04-11;samuel9466;1
2020-04-11;Frav3s_;1
2020-04-11;LuiSmart92;1
2020-04-11;LaercioPanato;1
2020-04-11;ohnoavampbiteme;1
2020-04-11;ninamlinhares;1
2020-04-11;hellenwanessaac;1
2020-04-11;vmlb;1
2020-04-11;g_fernandesjr;1
2020-04-11;SidneiaSantos15;1
