user,text,created_at
QBatistaa,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
AdanJonas2,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
adriluiz3_luiz,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
DoctorNaro,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
AlagoasAlerta,Rafael Brito agradece a Sococo pela doação de respiradores ao Estado para atender pacientes com Covid-19 https://t.co/TiGTvt6Kiq,2020-03-20
Esterol09189112,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
BuzatoMessias,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
leoaalbuquerque,"Atenção, pessoal!!

Muita gente está sem acesso aos equipamentos para se protegerem do COVID-19.

Ação de compra de materiais de saúde para doação em hospitais públicos de RECIFE. Ajudem com o que puderem, dinheiro ou divulgação.

(RT do amor, por favor! &lt;3) https://t.co/OxlqTASJEK",2020-03-20
TG_Meirelles,"RT @revistaforum: Ministro teria recebido doação de quase R$ 150 mil da Cirumed, empresa cujo dono já foi citado em investigações da PF sob…",2020-03-20
AtleticaCoringa,"Bom dia galera!! 
Corona vírus é um assunto muito importante, mas a doação de dengue não pode ser esquecida e os bancos de sangues estão quase vazios. +informações para doação no nosso insta. Contamos com vocês 💜🩸 https://t.co/W7YGZcEzPs",2020-03-20
DopeBrubz,"RT @AtleticaCoringa: Bom dia galera!! 
Corona vírus é um assunto muito importante, mas a doação de dengue não pode ser esquecida e os banco…",2020-03-20
CacoBrasil2,"RT @revistaforum: Ministro teria recebido doação de quase R$ 150 mil da Cirumed, empresa cujo dono já foi citado em investigações da PF sob…",2020-03-20
Lucasrodrisz,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
CaioZKC,"RT @AtleticaCoringa: Bom dia galera!! 
Corona vírus é um assunto muito importante, mas a doação de dengue não pode ser esquecida e os banco…",2020-03-20
marinho_crispim,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
marisagil3_gil,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
ceciliafiuza,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
harada_jose,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
MiticaEscorpia,"RT @revistaforum: Ministro teria recebido doação de quase R$ 150 mil da Cirumed, empresa cujo dono já foi citado em investigações da PF sob…",2020-03-20
Elianef63242826,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
Rodrigo56357062,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
Gerstnerr,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
haroldo4308,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
DortmundBrasil,"Ex-jogador do BVB faz doação para combater o coronavírus
https://t.co/Tn2I0Irdd7 https://t.co/5sGHbGzXKs",2020-03-20
gabrielaarenal1,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
ThiagoR21836697,"Uma vez que podemos ter o Covid19 de forma assintomática, para a doação de sangue, serão feito testes em todos as doações? #perguntacorona",2020-03-20
Assemblador,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
Lyanna_Bezerra,Vc que é #doadordesangue vá até ao hemocentro da sua cidade (em Natal Hemovida e Hemonorte) e faça a sua doação. Os estoques já estão baixos e muitos precisarão. #coronavirusbrasil #coronavirus,2020-03-20
gabvilanova_,Podia fazer uma doação para as vítimas do Corona ou pra ciência ao invés de bater palminha,2020-03-20
prvictorsena,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
inesbueno029,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
nary,RT @Lyanna_Bezerra: Vc que é #doadordesangue vá até ao hemocentro da sua cidade (em Natal Hemovida e Hemonorte) e faça a sua doação. Os est…,2020-03-20
Paulvilas3,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
SrgioRabelo4,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
CtiadoNascimen2,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
MrciaR6,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
barbosademara,"Gostaria de perguntar: o sangue doado não pode conter o corona vírus, visto que esse vírus é assintomático em muitos casos? No ato da doação se a pessoa contraiu o vírus recentemente não vai transmitir para o receptor?

#perguntacoronavirus",2020-03-20
helidatorres,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
