;num_tweets
claro;53
fala;89
dele;121
fim;363
sim;307
Nosso;538
objetivo;530
garantir;522
ordem;523
democrática;517
uniformidade;517
das;1137
medidas;746
prevenção;638
à;1179
Como;1016
@RitaLisauskas;68
galera;165
pedia;72
ditadura;235
nas;1204
ruas;1024
chamando;75
Doria;217
@yurezinofc;11
sabe;241
né;154
🤗;13
@DaniloGentili;28
TRUMP;12
germe;12
ficou;72
brilhante;12
antibiótico;102
consegue;126
acompanhá-lo;12
há;482
gênio;13
nele;64
apenas;657
@pldadepressao_;61
Assim;105
aniversário;185
Dele;147
Alli;146
@djMdk75;1
Quarentena;1324
nada;205
play;1
beat;5
Foda;35
dms;4
sou;223
mentir;4
@NakedInTheRainn;8
amigos;517
preparem;10
@BrunnoMeloCBN;33
Claras;39
Lago;34
segunda;444
região;40
administrativa;33
DF;44
maior;799
lembrar;72
cobram;64
brasileiro;707
cumprir;77
determinações;64
Japão;63
@euthiagof;621
@roxmo;254
Coronavírus;633
roubada;349
Aeroporto;293
muita;327
canalhice;248
@mpversace;518
santa;564
ceia;518
@silviogrimaldo;157
Os;617
governador;272
xingling;154
sp;158
vão;413
mto;164
@inesribeiro15_;10
Fodasse;10
merda;129
acaba;536
@wilsonmessias01;8
prende;217
supostamente;7
eram;38
produtos;13
roubados;80
aeroporto;127
@NMackinson;1
acontecesse;1
seria;239
motivo;13
@CoeeGh_;89
“Quarentena;171
@Jun4nho;1
CORONA;244
VC;43
JÁ;35
ENCHEU;1
@Core__Core;2
Ameaças;2
Queimadas;164
recordes;5
Vulcão;16
@marcofeliciano;208
digam;48
coisa;433
imprensa;180
passa;366
dizendo;172
morrer;294
houver;47
aglomeração;391
@mineposting1999;102
população;242
nether;101
decidiu;111
portal;103
@zehdeabreu;209
comunista;87
Gente;279
@valeriascher;131
Sou;144
psicóloga.Minimizar;121
menosprezar;122
doenças;177
mentais;122
decorrentes;121
caminho;160
@Marciomac21;8
Parabéns;101
paulistanos;8
representam;9
Nunca;82
vote;9
@jdoriajr;184
#ImpeachmentDeDoria;8
@LDRaddic;2
#BLINDADA;1
Lana;1
Del;1
Rey;1
vista;8
quebrando;24
comprar;113
Coca;1
Cola;1
Diet;1
roubaram;141
Via:@gazeta_brasil;165
@safoda_idc;8
estava;609
AGORA;16
NA;123
TOU;8
DESCONTROLADA;8
24/7;8
NÃO;294
@cruzeirense02;2
acabe;124
logo;199
preciso;116
vê;99
@oofaka;39
Qdo;36
perguntam;33
cheios;34
respondo;33
certamente;116
sabem;81
dá;258
certeza;70
@VilenaRuth;117
Apenas;137
4°;132
tivemos;192
Conflito;130
entre;575
x;192
IRÃ;136
causando;132
@josefucs;7
Perguntar;7
ofende;7
transforma;7
político;17
Precisa;8
@jw_alex;1
sei;271
consulado;4
conexões;2
chinês;106
isso;874
@oswaldojor;424
esquerda;378
favor;486
liberação;338
maconha;390
cocaína;334
aborto;335
efeitos;418
colaterais;392
porque;528
@AiltonBenedito;356
parte;162
tratamento;760
Paraná;110
inclusive;103
estágios;88
iniciais;89
infecção;97
compromisso;3
manter;357
fluxos;1
comerciais;9
cadeias;1
suprimento;1
simultaneamente;4
empenho;1
@JaqueStrass;3
estavam;76
mapeando;3
desconfiava;6
@HelioTelho;1
Fux;5
“Coronavírus;26
habeas;16
corpus”;16
https://t.co/mpFD6yq0h7;1
(no;2
óbvio;15
dito;12
@pileggi_k;1
@hflaviof;1
dar;369
tattoo;13
estamos;606
fico;95
@VEJA;12
Moradores;2
hostilizam;2
turistas;2
descumprem;3
praia;171
-&gt;8
https://t.co/fybpkOJhiO;2
Deu;48
@conexaopolitica;335
“Brasil;46
registra;68
diminuição;70
Covid-19.”;46
Obrigado;62
SENHOR;50
ouvir;77
@RhederSilva;12
Ficar;195
MELHOR;137
covid19;232
acidente;137
carro;176
aids;136
assalto;135
ônibus;166
atropelado;133
@otempo;67
Policiais;4
Bogotá;4
capital;10
Colômbia;5
dão;48
Zumba;4
cidade;140
cidadãos;146
devido;67
@ananiasfernanda;73
Ora;72
ora;76
olhem;62
Manual;62
Manejo;62
clínico;62
Chikungunya;62
Saúde;882
2017;67
AUTORIZA;62
Achavam;478
morto;498
função;490
Pois;519
queremos;481
trabalhar;510
derrubar;605
@vuintrieri;3
@aloironei;1
@cadeapazleo;2
impossível;58
produtivo;11
@madusff;2
gosto;103
Gusttavo;122
Lima;148
tosco;2
defendendo;59
fuder;24
lá;209
@guedescaioxs;121
kkkkkkkkkkkkkkkk;121
deixando;208
maluco;147
🤣;121
@vitorhtavares_;1
Cadê;43
milionários;1
fronteira;25
vestir;5
morcego;3
noite;231
dando;123
porrada;4
filho;59
puta;187
@aninhawilkem;1
culpa;67
quarentena🤢🥵;1
@fg15vitor;492
Nos;530
aproveitando;546
ninguém;673
rua;717
😅;520
@cleytxn;123
6h;122
manhã;301
@seontasa;338
79;353
COVID19;490
1.150;351
quê;437
nós;480
@_dannielzs;157
lisa;161
