;Palavras
@felipeneto @coronavirusnobr;1
@coronavirusnobr Exatamente;1
Exatamente O;1
O pior;5
pior de;3
de tudo;62
tudo é;3
é que;396
que tem;101
tem pessoas;1
pessoas que;119
que de…;1
@atchimx parem;7
parem de;67
de ter;83
ter coronavirus;15
coronavirus ✋;7
✋ #OSegredoNaFloresta;7
#OSegredoNaFloresta https://t.co/ebR1WiHFYB;7
@rodrigodasilva Brasil;463
Brasil paga;486
paga R$;486
milhões por;488
por 15;486
15 mil;817
mil testes;842
COVID-19 e;520
e 2;486
máscaras A;488
A carga;484
carga chega;482
chega em;484
em Guarulhos;495
Guarulhos e;485
e é;523
é roubada.…;463
@felipeneto França;152
França relatou;152
relatou q;152
q 43;152
43 pacientes;152
pacientes tratados;152
tratados com;202
com Cloroquina;153
Cloroquina tiveram;152
tiveram problemas;153
problemas cardíacos;171
cardíacos 7;152
7 deles;152
deles tiveram;152
tiveram paradas;152
paradas cardíacas;152
cardíacas e;152
e 4;152
4 mo…;152
@kernzera ces;2
ces so;2
so vao;2
vao parar;2
parar de;12
de sair;32
sair quando;2
quando pegar;3
pegar corona;9
corona e;64
e transmitir;2
transmitir pra;2
pra alguém;2
alguém que;46
que gosta;2
gosta ne;2
@flaviocostaf A;50
A carreata;52
carreata que;50
que acontece;56
acontece agora;50
agora em;67
em São;664
São Paulo;850
Paulo está;51
está reunindo;50
reunindo a;50
a nata;50
nata do;50
do cidadão;52
cidadão de;52
de bem;67
bem patriota;50
patriota temente;50
temente a;50
a Deus;62
Deus amante;50
amante da;50
da cl…;50
@manaus_pop Número;8
Número de;64
de novos;12
novos casos;31
casos de;454
de Covid-19;413
Covid-19 vem;8
vem diminuindo;8
diminuindo no;8
no Amazonas;27
Amazonas 🙏;8
🙏 Quarta;8
Quarta -;8
- 168;8
168 Quinta;8
Quinta -;8
- 95;8
95 Sexta;8
Sexta -;8
- 82;8
82 Sábado;8
Sábado -;8
- 68;8
68 https://t.c…;8
@Vieira2La Mulher;212
Mulher morreu;241
morreu de;248
de pneumonia;252
pneumonia e;240
e o;985
o médico;300
médico colocou;242
colocou como;239
como corona;240
corona virus;297
virus A;217
A família;232
família foi;217
foi pra;225
pra cima;225
cima hospital;217
hospital PSM;214
PSM EM;214
EM BELÉM;214
BELÉM https://t.…;212
@desiretodie não;1
não consigo;8
consigo entender;1
entender pq;1
pq vc;10
vc estão;1
estão se;10
se reunindo;26
reunindo na;1
quarentena parece;8
parece que;34
que são;15
são loucos;1
loucos FICA;1
FICA EM;11
EM CASA;55
CASA CARALHO;1
@pqplaurina quando;2
quando a;193
quarentena acabar;626
@EnockFormiga Letalidade;2
Letalidade do;2
do Covid-19;346
Covid-19 Taxa;2
Taxa de;2
de mortalidade;3
mortalidade do;2
do Brasil;483
Brasil continua;4
continua bem;2
bem abaixo;2
abaixo da;2
da média;2
média mundial;2
mundial Brasil;2
Brasil é;145
é o;513
o 14º;2
14º em;2
em número;4
número de;700
de ca…;3
@OsmarTerra Coreia;124
Coreia do;204
Sul não;125
não fez;131
fez quarentena;126
quarentena Isolou;124
Isolou e;124
e superprotegeu;124
superprotegeu só;124
só o;157
o grupo;135
grupo de;176
de risco;228
risco Não;124
Não fechou;125
fechou um;124
um restaurante;124
restaurante ou;124
ou empresa;124
empresa durante…;124
@brunnosarttori Imagina;73
Imagina assistir;73
assistir esse;73
esse vídeo;93
vídeo fumando;73
fumando cloroquina;73
cloroquina https://t.co/3Ww6mBr2I8;73
@ilecoutinho vai;33
vai muito;35
muito além;35
além do;43
do dia;76
dia 31/05;35
31/05 SE;35
SE VOCES;35
VOCES CONTINUAREM;35
CONTINUAREM FURANDO;33
FURANDO A;36
A MERDA;34
MERDA DA;33
DA QUARENTENA;50
QUARENTENA SEUS;34
SEUS BOSTA;33
@meltedvideos tá;8
tá fazendo;64
fazendo o;24
o que;350
que na;90
quarentena https://t.co/CYxgdBIXXa;8
@coimbraricardo Detalhes;67
Detalhes 1);67
1) O;67
O babaca;67
babaca tentando;67
tentando emplacar;67
emplacar um;67
um ato;67
ato de;67
de desobedIência;67
desobedIência civil;67
civil mas;67
mas o;229
o reflexo;67
reflexo de;67
de gado;68
gado é;67
é tão;77
tão forte;67
forte que;67
hora que…;67
@ernestofaraujo Líderes;1
Líderes do;1
G20 após;1
após sua;1
sua reunião;1
reunião por;2
por videoconferência;1
videoconferência emitem;1
emitem declaração;1
declaração confirmando;1
confirmando que;1
a frente;6
frente econômica;1
econômica -;1
- preservaç…;1
@SuzyVitoria1 -Saiu;76
-Saiu a;76
a fisiopatogenia;76
fisiopatogenia do;76
Covid-19 -A;76
-A lesão;76
lesão que;76
que ele;116
ele provoca;75
provoca na;73
na hemoglobina;73
hemoglobina é;76
é precisa;73
precisa com;73
com a;1414
a do;77
do plasmódio;73
plasmódio da;73
da malária;73
malária (retir…;73
@paginaseria Janeiro;72
Janeiro ;75
 quase;74
quase terceira;74
terceira guerra;246
guerra mundial;348
mundial Fevereiro;76
Fevereiro corona;74
corona vírus;583
vírus Março;74
Março barulho;74
barulho no;76
no céu;128
céu Abril;122
Abril Vulcao;72
Vulcao Krakatoa;72
Krakatoa em;89
em erupção…;72
@collucciclaudia Estudo;20
Estudo feito;87
feito em;117
em Manaus;157
Manaus aponta;117
aponta que;123
que alta;117
alta dose;117
dose de;117
de cloroquina;218
cloroquina está;126
