;Palavras
@soraiaifc Devo;1
Devo ser;2
afetar em;1
em nada;1
nada vocês;1
vocês só;1
se sabem;1
sabem queixar;1
queixar com;1
@Aninhazevedoh Vcs;1
q tão;5
de love;3
love como;1
os pais;1
pais de;1
vcs deixam;1
@mafarete muito;1
muito blogueiras;1
@vittorrbarros eu;1
amiga planejando;1
planejando tudo;1
acabar quando;1
liga https://t.co/X5…;1
@profeJoaoCarlos As;3
defendem que;3
você deve;4
deve se;4
se manter;6
manter em;4
confinamento social;3
social total;3
total e;3
que dane-se;3
dane-se a;3
economia alegando;3
alegando defende…;3
@ederjuniior2 quarentena;1
quarentena mostrou;1
mostrou me;1
me que;1
paciência tem;1
@_Thssilvaa Eu;1
mais dizer;1
dizer “depois;1
gnt marca”;1
@Olessinha Essa;1
@rudrig0 Segundo;1
Segundo caso;1
Corona em;2
em bejota;1
bejota Fiquem;1
Fiquem dando;1
role mermo;1
mermo galera;1
@Marina_Rita Argentina;1
Argentina Amenta;1
Amenta o;1
de contágios;1
contágios confirmados;1
e somam;1
somam 2.142;1
2.142 contaminados;1
contaminados (+167);1
(+167) com;1
com 89;1
89 (+6);1
(+6) mortes;1
mortes #co…;1
@Lomograuu Vem;37
 🥰😍;37
🥰😍 https://t.co/P8ZtK6kiox;37
@JOOPaul47800853 EM;1
EM NOME;1
NOME DE;1
DE JESUS;1
JESUS #FORADORIA;1
#FORADORIA #UnidosComBolsonaro;1
rs https://t.co/1k81DK8ReZ;7
@Stebusolli652 o;1
corona nem;1
nem mata;1
mata oque;1
oque mata;1
é essas;2
de corno;2
@unorthojukebox final;1
ano casos;1
corona extintos;1
extintos pessoas;1
abraçando novo;1
novo álbum;1
álbum do;1
do bruno;3
bruno mars;1
mars tocando;1
tocando no;1
no fun…;1
@camilaloures A;59
A por*a;59
por*a do;59
ai Hahahhajaja;59
Hahahhajaja @gusttavo_lima;59
@gusttavo_lima é;59
@mostachico queria;1
assim nessa;2
gosto https://t.co/GMRotUPe81;1
@aidaani toda;5
eu leio;5
leio a;5
galera reclamar;5
reclamar o;5
todo q;5
pode MALHAR;5
MALHAR na;5
meu cérebro;7
cérebro fica;5
fica apenas;5
apenas https://t.co/80Yc…;5
@DomDasThreads 31);5
31) Ela;5
em SHOCK;5
SHOCK como;5
como vemos;5
vemos a;5
a vários;6
vários dias;5
dias ontem;5
ontem ela;5
ela fez;10
fez este;5
post Bizarro;5
Bizarro onde;5
onde msgs;5
msgs subliminares;5
subliminares dizem;5
dizem parar;5
parar Trava…;5
@Weveleenluana Parece;1
Parece q;5
estou numa;1
numa realidade;1
paralela nessa;1
ódio quero;1
@pedrinsantss Quem;2
Quem passar;2
passar dessa;2
mental intacta;2
intacta merece;2
merece um;2
um prêmio;2
@brunodedireita NA;1
NA MORAL;2
MORAL OLHA;1
OLHA O;2
EU VI;1
VI QUE;1
QUE O;2
O DÓRIA;1
DÓRIA MANDOU;1
MANDOU PESSOAS;1
PESSOAS COM;1
LEVES DA;1
DA COVID-19;2
COVID-19 INVES;1
INVES DE;1
DE RECEBEREM;1
RECEBEREM ALTA;1
ALTA SÃO;1
SÃO OBRI…;1
@Alemanha_BR Crise;1
Crise do;1
coronavírus farmacêuticos;1
farmacêuticos criativos;1
criativos fazem;1
fazem a;1
diferença na;1
na Alemanha;1
Alemanha #alemanha;1
#alemanha #farmácias;1
#farmácias #criatividade;1
#criatividade #medicamen…;1
@BradWillisSP @isentoes2;1
@isentoes2 Cada;1
algum Governador;1
Governador dá;1
dá entrevista;1
entrevista assustadoramente;1
assustadoramente aumentam;1
de infectados;4
de mortos,…;1
@DaniloDanelli “ESSA;3
“ESSA PORRA;5
PORRA DE;11
DE CORONA”;3
CORONA” LIMA;3
LIMA Gusttavo;3
@EvandroRezend11 vixi;1
vixi pq;1
a chinezada;1
chinezada queriam;1
queriam as;1
máscaras será;1
a esquerdalha;1
esquerdalha que;1
que encomendou;1
encomendou o;1
o roubo;3
roubo https://t.co/eoHHpbdL9i;1
@alexiaedessonn esse;2
esse seu;2
seu role;2
role ai;2
ai moh;2
moh é;2
é open;2
open corona;2
@tatioq Mas;1
Mas @jdoriajr;1
@jdoriajr @brunocovas;1
@brunocovas que;1
que vergonha;2
vergonha é;2
essa sobre;1
sobre falta;1
de EPI;1
EPI na;1
cidade O;1
os profissionais…;1
@J_LIVRES [ITÁLIA];3
[ITÁLIA] [CORONAVÍRUS];3
[CORONAVÍRUS] Corredor;3
Corredor amador;3
amador leva;3
leva multa;3
multa de;3
mil euros;3
euros -;3
- quase;3
reais -;3
- por;4
por furar;3
furar quarentena;3
sem motivo;3
motivo esse…;3
@changeskarla a;1
e parar;2
parar num;1
num barzinho;1
barzinho pra;1
uma cerveja;2
cerveja ta;1
ta grande;1
grande mas;3
@NeoRedPillBack E;5
acontece a;3
a coleta;5
coleta de;6
material do;3
do paciente;3
paciente é;9
por via;3
via nasal;3
nasal e;3
vai pro;3
pro laboratório;3
laboratório pra;3
pra saber;4
saber se;5
o 'cliente…;3
@mitags @LogulloA;1
@LogulloA @GFiuza_Oficial;1
@GFiuza_Oficial O;1
O Covid;1
19 “curou”;1
“curou” a;1
a pneumonia;1
pneumonia que;1
que antes;5
antes matava;1
matava muitos;1
muitos idosos;1
idosos Reparou;1
@olividaiane Essa;1
vírus LIMA;1
LIMA GUSTTAVO;1
GUSTTAVO #ButecoEmCasa;2
@mariozinholago EUA;3
com 18.860;3
18.860 falecidos;3
falecidos supera;3
supera a;3
coronavírus @UOLNoticias;3
@UOL https://t.co/…;3
@AlineQ12 Acho;2
gente já;4
tratar sozinha;2
sozinha me;2
precisam da;3
medicina O;2
era https://t.co/BeaXZf…;1
@correio Juiz;2
grave por;2
Covid-19 recuperado;2
recuperado https://t.co/C7r6koh9WN;2
https://t.co/C7r6koh9WN https://t.co/Rd89TaLOKo;2
@picasonsa1 VICE;1
VICE GOVERNADOR;1
GOVERNADOR DE;1
DE SÃO;1
PAULO está;1
está ao;1
vivo no;2
no programa;4
do Datena;1
Datena (Band);1
(Band) e;1
está desconversando;1
desconversando sobre;1
o chinês;2
chinês preso…;1
@ericckr_ ESSA;1
@tvbrasilgov A;1
A Comissão;1
Comissão Técnica;1
Técnica Nacional;1
Nacional em;1
em Biossegurança;1
Biossegurança (CTNBio);1
(CTNBio) do;1
do @mctic;1
@mctic ;1
 aprovou;1
aprovou estudo;1
estudo para;1
nova vacina;1
vacina dupla;1
dupla contra;1
o #…;1
@nery_sophia TE;1
TE QUERO;1
QUERO AO;1
CORES AQUI;1
AQUI quarentena;1
@bargirlvivi Na;2
eu fiquei;3
fiquei careca;2
careca https://t.co/IWBAiw86Pv;2
#Coronavírus em;4
um discurso;4
discurso emocionante;4
emocionante neste;4
sábado (11/04);7
(11/04) a;4
a rainha;5
rainha Elizabeth;4
Elizabeth II;5
II pediu;4
aos britânicos;4
britânicos que;4
que fiquem;5
@solange_bastos @cartacapital;1
@cartacapital Parabéns;1
Parabéns ao;1
ao Vitor;1
Vitor na;1
na coletiva;1
coletiva do;1
Saúde Pergunta;1
Pergunta fundamental;1
fundamental A;1
A Resposta;2
Resposta dada;1
dada foi;1
que 50…;1
@DrEstranhoReal 19:52;1
19:52 Solta;1
Solta o;5
o Rock;5
Rock noite;5
de Sabado;5
Sabado vmos;5
vmos de;5
filme dirty;1
dirty dancing(Ritmo;5
dancing(Ritmo Quente);5
Quente) para;5
para agitar;6
agitar 💃🕺;1
💃🕺 Sente;1
Sente a;5
a energia;5
energia da;5
da canção…;1
@ricardope A;1
tem mostrado;1
mostrado a;1
a ineficácia;1
ineficácia do;1
do homeschooling;1
homeschooling Pais;1
Pais não;1
são professores;1
professores Casa;1
Casa não;1
é escola;1
escola EAD;1
EAD não;1
não substitui;1
substitui pres…;1
@talitaptls essa;1
@folha Preocupadas;2
Preocupadas por;2
coronavírus crianças;2
crianças deixam;2
deixam álcool;2
gel e;5
e bilhetes;2
bilhetes para;2
o Coelhinho;2
Coelhinho https://t.co/LPprlBGjx3;2
@kyungsoock eles;2
eles q;4
n iam;2
iam me;2
me aguentar;3
@JaqueGiarletti Eu;6
ele seja;6
seja responsabilizado;6
responsabilizado hoje;6
hoje ele;7
ele disse;6
disse pro;6
pro Caiado;6
devem pegar;6
covid-19 Ele…;6
@arvorita POR;4
FAVOR CORONA;4
CORONA PARA;4
PARA PRA;4
EU PODER;4
PODER IR;4
IR NO;4
NO BIRUTA;4
@omenaasabrina Muita;1
Muita saudade;1
saudade Corona;1
vírus você;6
você foi;1
@recordtvoficial Celso;2
Celso Russomanno;2
Russomanno tira;1
tira dúvidas;1
dúvidas do;1
do público;1
público sobre;2
a relação;1
relação aluno/universidade;1
aluno/universidade durante;1
quarentena Envie;1
Envie suas;1
suas perguntas…;1
@LeonelRadde Duas;1
Duas obsessões;1
obsessões de;1
Bolsonaro no;2
pandemia soaram;1
soaram bizarras;1
bizarras a;1
a defesa;2
da abertura;1
abertura das;1
das lotéricas;1
lotéricas e;1
a escolha;1
escolha da;2
da Cloro…;1
@FilipeDidi Qual;2
panorama atual;2
atual do;2
do futebol;2
futebol francês;2
francês O;2
vem sendo;2
sendo pensando;2
pensando Quais;2
os caminhos;2
caminhos em;2
COVID-19 Le;2
Le Podca…;2
@thay15matos Yasmim;1
Yasmim já;1
já quer;1
me arrastar;1
arrastar pro;1
primeiro baile;2
@Joel81742811 Estou;2
Estou naquela;2
naquela fase;2
já comigo;2
comigo próprio;2
próprio me;2
me irrito;2
@eukarolina_ E;1
E as;4
pessoas continuam;1
continuam agindo;1
agindo normalmente;1
@brunammedeiross Corona;1
Corona pfv;1
pfv n;1
n mie;1
mie meu;1
meu ultimo;1
ultimo Galoisrtes;1
@wal_77 @aguedescartoon;1
@aguedescartoon Em;1
Em respeito;1
respeito aos;1
aos demais;3
demais brasileiros;1
brasileiros suspenda;1
suspenda seus;1
seus vídeos;1
vídeos nesse;1
@mar_garida__ Não;1
quarentena maldita;1
@flcrvg chato;1
chato mas;1
mas ate;1
ate q;1
q eh;2
eh bonitinho;1
@thatsmoraj MMKKKKKKKKKKKKKK;6
MMKKKKKKKKKKKKKK a;6
galera pós;6
assim mrm;6
breve https://t.co/doMQuz9Xh8;1
@dudacosta_s essa;1
corona microbio;1
@guivissotto Meu;1
vizinho tá;1
fazendo um;2
churrasco com;1
inteira em;1
tô entre;1
entre sentir;1
sentir ódio;1
ódio ou;1
ou pedir;1
um pão;1
pão de;2
de alho;2
@lunalulalivre Começaram;1
Começaram as;1
leito Pai;1
leito hospitalar…;1
@AllanGarcs1 É;9
É incrível;9
a @RedeGlobo;37
@RedeGlobo é;9
é tendenciosa;9
tendenciosa acabou;9
usar cerca;9
8 min;9
min do;9
do JN;9
JN para;9
tentar colocar;9
em xeque;9
xeque o;9
da Clor…;9
Coronavírus Isolamento;3
Isolamento só;3
idosos pode;7
se estender;8
estender até;7
ano na;7
na Europa;7
Europa https://t.co/iEqPaQlsVf;3
@albuquerque_af Ora;2
ora aquele;2
aquele ex-Ministro;2
ex-Ministro que;2
só espalha;2
espalha fake;2
news segundo;2
segundo as;2
as cheerleaders;2
cheerleaders do;5
está propondo;2
propondo que;2
o Bra…;2
@izidori0 A;2
única UTI;2
Acre que;2
que recebe;2
recebe COVID;2
COVID está;2
sem vaga;2
vaga nenhuma;2
nenhuma FIQUEM;2
FIQUEM EM;5
@AnaJuli32233970 A;1
A gnt;1
gnt ontem;1
ontem 🤣🤣😭🤪@Lidi_santos1;1
🤣🤣😭🤪@Lidi_santos1 @ThaynaThawan;1
@ThaynaThawan @Yasmin04232616;1
@bolsonaro_jairo Se;1
Se foçe;1
foçe putaria;1
putaria ninguém;1
ninguém curtiria;1
curtiria Deiche;1
Deiche seu;1
seu amém;1
amém para;1
para eçes;1
eçes guerreiros;1
guerreiros que;1
fazem cloroquina;1
dessa pandemia;2
pandemia 🙏🏻…;1
@ThiagoSRoficial @arthurmoledoval;1
@arthurmoledoval Bora;1
Bora Questionar;1
Questionar Tudo;1
Tudo MENTIROSO;1
MENTIROSO https://t.co/E7ZPxNdlcR;1
divulga https://t.co/ebcSIXdx6i;2
@mmpeduarda e;2
de lkkkkkkkkkkkk;2
lkkkkkkkkkkkk @laisalds;2
@laisalds @anabmng;2
@opadjluan to;4
vendo legal;4
legal o;4
o meus;4
amigos de;5
verdade ;4
 muito;5
muito obrigado;5
@gen_paulosergio No;4
No escopo;4
escopo da;4
Op COVID-19;5
COVID-19 o;4
o 8;4
8 BEC;4
BEC aquele;4
aquele da;4
da obra;4
obra da;5
da BR;4
BR 163;4
163 realizou;4
de cestas;4
básicas a;4
que trab…;4
@ghislandiflavio vcs;2
que namoram;2
namoram e;2
estão junto;2
o boy;3
boy nessa;2
se reclamarem;2
reclamarem de;2
de alguma;3
coisa algum;2
algum dia;5
O TABEFÃO;2
TABEFÃO NA;2
NA ORELHA…;2
@paulacamara_ As;1
Itália aumentaram;1
aumentaram 3,2%;1
3,2% nas;1
horas ou;1
ou 619;1
619 para;1
para 19.468;1
19.468 enquanto;1
que testaram…;1
@thaix13 como;1
@CoquetelAzul Sim;1
Sim nessa;1
só penso;2
penso em;5
em SEXO;1
SEXO S-er;1
S-er amado;1
amado E-ncher;1
E-ncher a;1
cara X-odó;1
X-odó de;1
alguém O-cupar;1
O-cupar sua;1
@gialtoe essa;1
corona aí;4
@BrunettiRafael Advogado;6
Advogado cobra;9
cobra R$;9
R$ 5;9
5 bilhões;9
bilhões a;9
a Dória;9
por querer;9
querer falir;9
falir São;9
Paulo em;9
confinamento horizontal;9
horizontal https://t.co/nj5U32…;6
@AdsumP O;3
Globo Entenda;3
o 'meme;3
'meme do;3
do caixão';3
caixão' o;3
o viral;3
viral que;3
tomou a;4
a internet;3
internet durante;3
quarentena https://t.co/cPvfWMCYql;3
https://t.co/cPvfWMCYql via;3
via @GoogleNews;3
@laris_mst tédio;2
nisso 😋;2
😋 #RABAAWARS;2
#RABAAWARS #BUNDAAWARS;2
#BUNDAAWARS #PINTOAWARDS;2
#PINTOAWARDS https://t.co/RTvNqyeHVv;2
@memeguy1997 Janeiro;2
Janeiro queimadas;2
queimadas Fevereiro;2
Fevereiro risco;2
Março pandemia;2
Abril vulcão;2
erupção Ma…;2
@CanellaMatheus O;1
Brasil pecou;1
pecou na;1
na tradução;1
tradução do;1
do nome;1
nome corona;1
vírus aqui;4
aqui só;2
só funciona;1
funciona se;1
o slogan;1
slogan é;1
é forte;1
forte e;2
com apelo;1
apelo popular;1
popular se;1
fosse DOE…;1
@whycalzona uma;1
uma pesquisa;2
quarentena 1;4
1 vocês;1
estão bebendo;1
bebendo água;1
@dadourado Imunidade;1
Imunidade ao;1
ao vírus;3
vírus da;1
#COVID19 Quanto;1
Quanto tempo;2
tempo durará;1
durará a;1
a imunidade;5
imunidade de;4
quem contrair;1
contrair a;1
doença Pessoas;1
se recuperarem;1
recuperarem poderã…;1
@2_gurgel ESTE;1
ESTE TIPO;1
DE MANIFESTAÇÃO;1
MANIFESTAÇÃO PACÍFICA;1
PACÍFICA ORDEIRA;1
ORDEIRA E;1
E DEMOCRÁTICA;1
DEMOCRÁTICA DEVE;1
DEVE SER;2
SER REPETIDA;1
REPETIDA EM;1
EM TODOS;1
OS ESTADOS;1
ESTADOS BRASILEIROS;1
BRASILEIROS NÃO;1
NÃO ESPEREM;1
ESPEREM O…;1
@emiaguiar Prefeito;1
covid-19 https://t.co/91uvNfgEYw;1
https://t.co/91uvNfgEYw via;1
@eliseuneto Nós;2
Nós precisamos;2
precisamos que;2
vírus viaje;2
viaje um;2
pouco @RomeuZema;2
@RomeuZema do;2
@partidonovo30 sobre;2
o 🦠#Coronavirus;2
🦠#Coronavirus 😷;2
😷 2020;2
@apenasalisson Quando;1
vou cair;1
macumba e;1
e aparecer;1
dias depois;7
depois 😂;1
Coronavírus Disney;1
Disney World;1
World vai;1
pagar salários;1
salários a;1
a 43;1
43 mil;1
mil trabalhadores;1
trabalhadores #coronavirus;1
#COVID19 #DisneyWorld;1
#DisneyWorld #coronaviru…;1
@ANGELOPORTO10 @gugachacra;5
@gugachacra A;9
A manifestação;5
manifestação não;5
mas contra;5
a imposição;5
imposição de;5
de certas;7
certas regras;5
de comporta…;5
@AllanGarcs1 Outro;8
Outro colega;8
colega médico;8
que adoeceu;8
adoeceu cuidando;8
o CoVID-19;8
CoVID-19 e;8
ainda acabou;8
acabou contaminando;8
contaminando toda;8
família Gr…;8
@ancapsu Pessoal;3
Pessoal organização;3
organização do;3
do movimento;3
movimento contra;3
contra lockdowns;3
lockdowns Não;3
Não mais;3
quarentena Marcha;3
Marcha global;3
global pela;3
vida Amanhã;3
Amanhã 12;3
abril as;3
as 2;3
2 da…;3
@djlcdochapa dps;3
quarentena kkkkkkkkkkkkkk;3
@elder_franca Spoiler;1
Spoiler é;1
isso que;5
eles querem;2
querem Mostrar;1
Mostrar para;1
de noção;3
noção de;1
de ciência;4
ciência que;1
que algo;1
algo que;4
não cura;3
cura cura;1
@V3ntoS Olá;1
Olá @jdoriajr;1
@jdoriajr e;1
e @wilsonwitzel;1
@wilsonwitzel cheguem;1
cheguem aí;1
aí Vai;1
dar td;1
td certo;1
certo #COVID19;1
#COVID19 https://t.co/pxF73i8ixn;1
@Valdecirdelecl1 Atendo;8
Atendo drogados;8
drogados Atendo;8
Atendo IDOSOS;8
IDOSOS Atendo;8
Atendo moradores;8
rua Atendo;8
Atendo aidéticos;8
aidéticos Atendo;8
Atendo negros;8
negros brancos;8
brancos amarelos;8
amarelos cafuzos;8
cafuzos e…;8
@talkei2019 Olha;1
aí governo;1
federal estimulando;1
estimulando que;1
façam e;2
e cadastre;1
cadastre mortes;1
corona eim;1
eim isso;1
é GENOCÍDIO;1
GENOCÍDIO vc;1
apoia este;1
este imbe…;1
@infraero #Coronavírus;2
O Aeroporto;2
Macapá recebeu;2
recebeu nesta;2
nesta semana;3
semana uma;2
uma aeronave;2
aeronave da;2
da @fab_oficial;2
@fab_oficial com;2
com materiais;2
materiais para;2
para auxiliar;2
auxiliar na;2
na preve…;2
@nilmoretto Caros;1
Caros advogados;1
advogados inscrita;1
inscrita me;1
me escreve;1
escreve desesperada;1
desesperada pq;1
a chefe;1
chefe está;1
está exigindo;1
exigindo q;1
se exponha;1
exponha e;1
e pegue;1
pegue covid19;2
covid19 logo;1
e passe;1
passe pra…;1
@Rvfael_ nessa;2
mais gosto;2
gosto nessa;8
nessa vida;2
vida são;2
são aglomerações;5
aglomerações de;7
@sepadamirxs ESSA;2
DE CORONA;5
VÍRUS KKKKKKKKKKKKKKKKKKKK;2
@_aguiarisahh Eu;1
a @coutiinhoo__;1
@coutiinhoo__ em;1
as festinhas;12
festinhas kkkkk;1
@ValeriaBnews Atenção;1
Atenção asnos;1
asnos de;1
plantão Aprendam;1
Aprendam E;1
aí @jdoriajr;1
@drauziovarella Em;5
no qual;7
a recomendação;9
a leitura;6
leitura pode;5
nos transportar;5
transportar para;5
para lug…;5
@gabrielmantelli @gabrieldread;5
@gabrieldread Maristella;4
Maristella Svampa;4
Svampa É;4
necessário abandonar;4
o discurso;4
discurso da;4
da 'guerra;4
'guerra contra;4
o vírus';4
vírus' e;4
e assumir;4
assumir as;4
as causas;4
causas amb…;4
@AllanGarcs1 No;2
todo existe;2
existe a;4
a Medicina;2
Medicina Baseada;2
Baseada em;2
em Evidência;2
Evidência que;2
tempos desconhecidos;2
desconhecidos de;2
de epidemias;2
epidemias quando;2
quando nada;2
nada existe;2
a respe…;2
@petracostal 1;1
1 Um;1
dos erros;1
erros mais;1
mais perigosos;1
perigosos do;1
do discurso;2
discurso do;1
é transformar;1
transformar a;1
a avaliação;1
avaliação da;1
da eficácia;1
em discussão…;1
@MadLipzPortugal Promoção;9
quarentena https://t.co/HijVBeCHRE;9
@LorenzonItalo Se;1
quarentena salvou;1
salvou alguma;1
alguma vida;1
de acidente;1
@alicygomesz Essa;1
@Iae_Mymy Essa;2
Essa Quarentena;4
Quarentena Ta;2
Ta Me;2
Me Deixando;2
Deixando Estressada;2
Estressada 🤬;2
@Nazireu7 E;2
E por;1
aqui ele;1
sendo mito;1
mito por;1
uma parte;1
parte considerável;3
considerável de;1
fazer lockdown;2
lockdown no;2
casos diz;2
Saúde https://t.co/bxkt9csQMU;1
@GovSC Já;9
Já está;12
está disponivel;9
disponivel no;9
no site;13
site https://t.co/ZUtGs6bWzt;9
https://t.co/ZUtGs6bWzt um;9
um Guia;13
Guia Reponsável;9
Reponsável de;9
de Convívio;9
Convívio para;9
população catarinense;9
catarinense durante;9
a pandemi…;9
@JornalOGlobo Presidente;2
Presidente executivo;2
executivo da;2
da Siemens;2
Siemens diz;2
haverá demissões;2
demissões por;2
coronavírus https://t.co/VrNF8AaQN7;2
https://t.co/VrNF8AaQN7 https://t.c…;2
@Kopp_Eduardaa Como;1
Como a;2
mãe de;4
vcs deixa;1
deixa vcs;1
vcs sairem;1
sairem com;1
corona solto;1
solto por;1
@bluewhiiite Nessa;1
ficando muito;1
muito molhadinha;1
molhadinha se;1
sem emoji;1
emoji so;1
so dar;1
dar rt;1
rt e;1
me seguir;1
seguir bebês;1
bebês 😍🔥😈;1
😍🔥😈 #PINTOAWARDSDIA1…;1
@NatalPrefeitura As;1
As equipes;1
equipes da;3
da URBANA;3
URBANA fizeram;1
fizeram hoje;4
a higienização;2
higienização de;1
de vários;3
vários terminais;1
terminais e;1
e pontos;1
ônibus da;3
zona Oeste;1
Oeste de;1
Natal como;1
@EduardaMatos3 O;4
O antigo;4
antigo “depois;4
“depois combinamos;4
combinamos alguma;4
alguma coisa”;4
coisa” passou;4
ser “quando;4
“quando a;4
acabar combinamos”;4
@aluciageadasc Como;1
têm paciência;1
se arranjar;1
arranjar durante;1
todo de…;1
@xgoodlips quero;1
quero pesar;1
pesar 10kg;1
@habituallx em;2
em 13/02;2
13/02 o;2
covid-19 erɑ;2
erɑ considerɑdo;2
considerɑdo umɑ;2
umɑ epidemiɑ;2
epidemiɑ e;2
só hɑviɑ;2
hɑviɑ 59k;2
59k pessoɑs;2
pessoɑs infectɑdɑs;2
infectɑdɑs e;2
e 1,3k;2
1,3k mortos;2
mortos nɑ;2
nɑ Chinɑ;2
Chinɑ e;2
e msm;2
msm ɑssim;2
ɑssim o…;2
@Seavisun Bagunçou;2
e mudou;2
planos Você;2
Você corona;2
@vicolhado SAPORRA;1
SAPORRA DESSE;1
CORONA ESTRAGOU;1
ESTRAGOU KAKAKAKAKAKA;1
KAKAKAKAKAKA AI;1
AI MEU;1
MEU DEIS;1
DEIS GUSTTAVO;1
@dudafoliveira_ essa;1
@FreixoRicardo Se;2
pegar eu;7
eu pego;9
@barreira123457 Acabamos;2
receber a;2
a triste;2
triste notícia;3
pessoa de;2
nossa comunidade;2
comunidade foi;2
foi internada;2
internada com;6
19 😢😢😢;2
@andre_salvador3 “essa;1
“essa porra;1
corona vírus”;3
@Diazz65033500 Se;4
saudade não;4
matar nessa;4
quarentena nada;7
mata ✌️;4
@Relacionemos Tantas;1
Tantas pessoas;1
morrendo com;3
vírus então;1
então de;1
de valor;1
valor pra;1
ta seu;1
seu lado;4
@GDAGOSTINI1 @Rosevov1;1
@Rosevov1 @DKen79857614;1
@DKen79857614 Itália;1
Itália de;1
de 14.860;1
14.860 mortos;1
mortos apenas;1
apenas 42;1
42 (0,28%);1
(0,28%) com;1
com até;2
até 40;4
anos Entre;1
Entre 40-50;1
40-50 anos;1
anos foram;1
foram 136;1
136 mortos;1
mortos (0,91…;1
@_vinihats quarentena;1
dia foda-se;1
foda-se chegou;1
chegou meu;1
meu tênis;1
tênis e;1
ele pelo;1
menos tiro;1
tiro foto;1
foto https://t.co/vkN9FmjLQN;1
@itimaliasof dia;2
20 de;7
quarentena https://t.co/aVlQ4W29hO;2
@saleaomatheus O;1
foi que;1
eu vim;1
vim q;1
q e;1
vdd e;1
quem tava;1
tava cmg;1
cmg só;2
por interesse;1
@Mandss_P027 Essa;1
Essa poha;1
poha desse;1
corona KKKKKKKKKKK;1
KKKKKKKKKKK #ButecoEmCasa;1
@mendes_Mao Acordando;1
Acordando assim;1
nessa Quarentena;3
Quarentena Da;1
Da que;1
que mando;1
mando na;1
na DM;5
DM de;1
vocês 😈😈💦;1
😈😈💦 https://t.co/NyIlaLmLGo;1
@tuf0s eu;1
uma festinha;8
festinha pop;1
pop depois;1
@tlltinha KKKKKKKKKKKKKKKKKK;2
KKKKKKKKKKKKKKKKKK “ESSA;2
CORONA VÍRUS”;2
VÍRUS” #ButecoEmCasa;2
@EdivanAndrad @DougraSEP;1
@DougraSEP Não;1
chineses e;1
e o…;2
@silvexlaloka mi;1
mi terem;1
terem desta;1
@smithnathii Eu;19
Eu moro;19
moro sozinha;19
sozinha vivo;19
vivo sozinha;19
sozinha eu;19
gosto acostumei;19
acostumei mas;19
estava sentindo;19
sentindo falta;19
humano porque;19
porque convivo;19
convivo com;19
com muita…;19
@UOL Bolsonaro;1
Caiado https://t.co/YxLFc3EFim;1
@NacoesUnidas Anote;2
Anote aí;2
aí dia;2
dia 18;4
abril @ladygaga;2
@ladygaga e;2
de artistas/celebridades;2
artistas/celebridades participarão;2
participarão de;2
show especial;2
especial p;2
p TV;2
TV One;2
One World;2
World T…;2
@levidesouza Este;1
Este vídeo;1
vídeo bastante;1
bastante simples;1
mas muito;1
muito educativo;1
educativo ajuda;1
a desenhar;1
desenhar para;1
que acham;8
é beste…;1
@Diiesey nessa;1
to ensinando;1
ensinando minha;1
mãe a;2
a mandar;1
os passinho;1
passinho ❤️;1
❤️ https://t.co/HzRDPbFsMG;1
@burnfacho Eu;1
to precisando;1
de sapato;1
sapato bolsa;1
bolsa quadro;1
quadro televisão;1
televisão bugiganga;1
bugiganga nem;1
nem ngm;1
ngm na;1
a prioridade;6
prioridade é;5
é comida;1
comida e;1
e remédio,…;1
@carolsffair eu;2
primeiro jogo;3
jogo que;2
tiver no;2
no beira-rio;2
beira-rio depois;2
@_Rique01 Essa;2
vírus -GL;2
-GL KKKKKKKK;2
quarentena https://t.co/XwFkRrgQy2;2
@ThaissaSilvest Não;8
Não peguei;8
peguei no;8
no caderno;8
caderno nem;8
@SamPancher No;1
No mês;1
mês passado;1
passado o;1
chinês preso;1
19 se;1
reuniu com;31
o Secretário;1
de Relações;1
Relações Internacionais;1
Internacionais da;1
da ci…;1
@SBeella Quando;1
Quando passar;2
eu fique;1
fique tonta;1
tonta igual;1
Bruno nessa;1
@ProAliancaBR As;3
que utilizam;4
utilizam a;4
hidroxicloroquina no;5
de malária;4
malária lúpus;4
lúpus e;4
e artrite;4
artrite reumatoide;3
reumatoide não;3
não devem…;3
@luizachata uma;1
que durmo;1
durmo dps;1
dps as;1
5 da;1
manhã quando;1
vou sofrer;1
sofrer dms;1
dms pra;1
pra conseguir;2
conseguir dormir;2
dormir pra;1
pra aula;2
@marasnog essa;1
um eterno;1
eterno bad;1
bad hair;1
hair day;1
@msfelippe Só;1
Só vendo;1
vendo pra;1
acreditar Inenarrável;1
Inenarrável https://t.co/RNeFHX0rlx;1
@livdelight Essa;1
@daniela_ssf Em;1
Em vez;1
se queixarem;1
queixarem da;1
quarentena aproveitem;1
aproveitem p;1
p estudar;1
estudar e;1
e p;3
tempo p;1
@nesimachado Pacientes;7
positivos #Covid_19;7
#Covid_19 #FiqueEmCasa;7
#FiqueEmCasa https://t.co/wQ09qvl…;7
@interdamazonia #China;1
#China consegue;1
consegue elevar;1
elevar a;1
#COVID19 para;1
para 94%;1
94% em;1
em #Wahan;1
#Wahan lugar;1
lugar mais;1
mais afetado;2
afetado do;1
país https://t.co/Zn6nlRUl…;1
@eduardogont SA;2
SA PORRA;2
EUA https://t.co/ilNma4nQGl;1
@laraaasilva9 ninguém;1
ninguém tem;3
tem noção;4
noção do;3
quanto adoro;1
